DWA Element Code,Corresponding Ontology Object Property,Corresponding Ontology Data Property,Annotation,Corresponding Reference Table RT
HG001,hasDesignation,,,
KG001,hasDesignation,,,
HG002,hasAlternativeDesignation,,,
KG002,hasAlternativeDesignation,,,
HG101,hasStreetCode,,,
KG101,hasStreetCode,,,
HG102,hasStreetName,,,
KG102,hasStreetName,,,
HG103,hasDistrictCode,,,
KG103,hasDistrictCode,,,
HG104,hasDistrictName,,,
KG104,hasDistrictName,,,
HG105,hasMunicipalityCode,,,
KG105,hasMunicipalityCode,,,
HG106,hasAreaCode,,,
KG106,hasAreaCode,,,
HG107,hasCatchmentAreaCode,,,
KG107,hasCatchmentAreaCode,,,
HG108,hasTreatmentPlantNumber,,,
KG108,hasTreatmentPlantNumber,,,
HG301,hasSewerType,,,103
KG301,hasSewerType,,,103
HG302,hasSewerUsage,,,104
KG302,hasSewerUsage,,,104
HG303,hasYearOfConstruction,,,
KG303,hasYearOfConstruction,,,
HG304,hasMaterial,,,105
KG304,hasMaterial,,,105
HG312,hasDepth,,,
KG211,hasDepth,,,
HG401,hasFunctionalStatus,,,109
KG401,hasFunctionalStatus,,,109
HG402,hasOwner,,,110
KG402,hasOwner,,,110
HG403,hasWaterProtectionZone,,,111
KG403,hasWaterProtectionZone,,,111
HG404,hasTrafficArea,,,112
KG404,hasTrafficArea,,,112
HG405,hasGroundwaterLevel,,,113
KG405,hasGroundwaterLevel,,,113
HG406,hasFloodArea,,,114
KG406,hasFloodArea,,,114
HG407,hasStatusData,,,115
KG407,hasStatusData,,,115
HG408,hasFloodingFrequency,,,125
KG408,hasFloodingFrequency,,,125
HG409,hasSoilGroup,,,126
KG409,hasSoilGroup,,,126
HG003,hasPipeSectionTopNodeDesignation,,,
HG004,hasPipeSectionBottomNodeDesignation,,,
HG005,hasPipeSectionEndPointDesignation,,,
HG006,hasPipeSectionObjectType,,,128
HG007,hasPipeSectionConnectingPipeStationing,,,
HG008,hasPipeSectionConnectingPipeStationingDirection,,,
